# ll                            TT_ab/TT                EE_ab/EE
2.000000000000000000e+00 1.001442055582328239e+00 1.000434513874636666e+00
3.000000000000000000e+00 1.001917147684051379e+00 1.001207288177906829e+00
4.000000000000000000e+00 1.001782225554361805e+00 1.002302282320338911e+00
5.000000000000000000e+00 1.001934342195083927e+00 1.003459793817977674e+00
6.000000000000000000e+00 1.001865315759642661e+00 1.004782696799141561e+00
7.000000000000000000e+00 1.001875739366705709e+00 1.005689146896066699e+00
8.000000000000000000e+00 1.001839767414111515e+00 1.005250590748327566e+00
9.000000000000000000e+00 1.001814460690983122e+00 1.003537559071419727e+00
1.000000000000000000e+01 1.001784910336389833e+00 1.002793883708861022e+00
1.100000000000000000e+01 1.001755183396797477e+00 1.003002799797641842e+00
1.200000000000000000e+01 1.001725582108972556e+00 1.003476338630231668e+00
1.300000000000000000e+01 1.001705758851634487e+00 1.003510252014237603e+00
1.400000000000000000e+01 1.001682424941674698e+00 1.001782180057374738e+00
1.500000000000000000e+01 1.001659171709866181e+00 1.001075583623328047e+00
1.600000000000000000e+01 1.001633293361626986e+00 1.000685488885169283e+00
1.700000000000000000e+01 1.001619164134962547e+00 1.000351994632225683e+00
1.800000000000000000e+01 1.001596738674764175e+00 1.000265050404052669e+00
1.900000000000000000e+01 1.001567330075691542e+00 9.996548123097310778e-01
2.000000000000000000e+01 1.001558591006949772e+00 9.990582999594922464e-01
2.100000000000000000e+01 1.001539505061600055e+00 9.987780108060324569e-01
2.200000000000000000e+01 1.001525292594485972e+00 9.985550214777803024e-01
2.300000000000000000e+01 1.001510757733381274e+00 9.985075601937798417e-01
2.400000000000000000e+01 1.001493335666422846e+00 9.985075696963151559e-01
2.500000000000000000e+01 1.001478821324098600e+00 9.984829793421631239e-01
2.600000000000000000e+01 1.001464246881600184e+00 9.985202021087118407e-01
2.700000000000000000e+01 1.001451027167955976e+00 9.985719406920111618e-01
2.800000000000000000e+01 1.001436547451349135e+00 9.986183516983407893e-01
2.900000000000000000e+01 1.001420455111593943e+00 9.986632026038216869e-01
