# ll				TT_ab/TT 		EE_ab/EE
2.000000000000000000e+00 1.001793815943228694e+00 1.000540504766549210e+00
3.000000000000000000e+00 1.002384797176557152e+00 1.001501781767734744e+00
4.000000000000000000e+00 1.002216963515845771e+00 1.002863877635957301e+00
5.000000000000000000e+00 1.002406185941598249e+00 1.004303740706687487e+00
6.000000000000000000e+00 1.002320321900075584e+00 1.005949339176009039e+00
7.000000000000000000e+00 1.002333288135749623e+00 1.007076899483345001e+00
8.000000000000000000e+00 1.002288541551177303e+00 1.006531366412736661e+00
9.000000000000000000e+00 1.002257061763591750e+00 1.004400475224526357e+00
1.000000000000000000e+01 1.002220303196274864e+00 1.003475395263468295e+00
1.100000000000000000e+01 1.002183324969611933e+00 1.003735272216509822e+00
1.200000000000000000e+01 1.002146503044929249e+00 1.004324321292042743e+00
1.300000000000000000e+01 1.002121844303965670e+00 1.004366507161758015e+00
1.400000000000000000e+01 1.002092818557512643e+00 1.002216906920786910e+00
1.500000000000000000e+01 1.002063893169018005e+00 1.001337950544656907e+00
1.600000000000000000e+01 1.002031702319910345e+00 1.000852700066621193e+00
1.700000000000000000e+01 1.002014126553506523e+00 1.000437856620060240e+00
1.800000000000000000e+01 1.001986230854803317e+00 1.000329704101821982e+00
1.900000000000000000e+01 1.001949648621405897e+00 9.995706107380334382e-01
2.000000000000000000e+01 1.001938777833185190e+00 9.988285912366329233e-01
2.100000000000000000e+01 1.001915036256591618e+00 9.984799311999799087e-01
2.200000000000000000e+01 1.001897356944910555e+00 9.982025481246737941e-01
2.300000000000000000e+01 1.001879276597729795e+00 9.981435096181353606e-01
2.400000000000000000e+01 1.001857604769086807e+00 9.981435214386223942e-01
2.500000000000000000e+01 1.001839549945829244e+00 9.981129327637695559e-01
2.600000000000000000e+01 1.001821420362172477e+00 9.981592352731210038e-01
2.700000000000000000e+01 1.001804975966137601e+00 9.982235944398132332e-01
2.800000000000000000e+01 1.001786964214842479e+00 9.982813264746359661e-01
2.900000000000000000e+01 1.001766946473522157e+00 9.983371178534883317e-01
3.000000000000000000e+01 1.001755557246755801e+00 9.983555776876741339e-01
3.100000000000000000e+01 1.001741150694435367e+00 9.983386422030076091e-01
3.200000000000000000e+01 1.001720931961147754e+00 9.983270763383600421e-01
3.300000000000000000e+01 1.001707337401764653e+00 9.983215497037390973e-01
3.400000000000000000e+01 1.001693420868348783e+00 9.983193004356668565e-01
3.500000000000000000e+01 1.001675513118407634e+00 9.983248179174427639e-01
3.600000000000000000e+01 1.001663314786800374e+00 9.983337185610980935e-01
3.700000000000000000e+01 1.001654684185292243e+00 9.983454668091820139e-01
3.800000000000000000e+01 1.001637075332369564e+00 9.983633506129917512e-01
3.900000000000000000e+01 1.001620903444170763e+00 9.983911462235121048e-01
4.000000000000000000e+01 1.001607262008348931e+00 9.984207390550144945e-01
4.100000000000000000e+01 1.001595680036170721e+00 9.984467797094465080e-01
4.200000000000000000e+01 1.001583482823431348e+00 9.984613510895390398e-01
4.300000000000000000e+01 1.001574610876511340e+00 9.984738262588456204e-01
4.400000000000000000e+01 1.001562943272385819e+00 9.984878141913908767e-01
4.500000000000000000e+01 1.001539293171970435e+00 9.984966755509262493e-01
4.600000000000000000e+01 1.001530155216703966e+00 9.985067969379535224e-01
4.700000000000000000e+01 1.001524218533713428e+00 9.985255032993355373e-01
4.800000000000000000e+01 1.001514535088329438e+00 9.985474168700949615e-01
4.900000000000000000e+01 1.001494148886598046e+00 9.985891598614324849e-01
5.000000000000000000e+01 1.001484892357902501e+00 9.986501461257114576e-01
5.100000000000000000e+01 1.001466354124205482e+00 9.986967232881763801e-01
5.200000000000000000e+01 1.001451726467002867e+00 9.986769798525972908e-01
5.300000000000000000e+01 1.001454353739544834e+00 9.986285772791952953e-01
5.400000000000000000e+01 1.001447690881443808e+00 9.985998244963503190e-01
5.500000000000000000e+01 1.001435855021305832e+00 9.986070021672184271e-01
5.600000000000000000e+01 1.001417879616778972e+00 9.986714053744946140e-01
5.700000000000000000e+01 1.001405403795670113e+00 9.987466669126464636e-01
5.800000000000000000e+01 1.001390386093623963e+00 9.988035279182615467e-01
5.900000000000000000e+01 1.001381428853533651e+00 9.988461325693631654e-01
6.000000000000000000e+01 1.001363225865206097e+00 9.988570082842477271e-01
6.100000000000000000e+01 1.001353030080738060e+00 9.988498315700109487e-01
6.200000000000000000e+01 1.001357142069813966e+00 9.988627488110854991e-01
6.300000000000000000e+01 1.001336443879580207e+00 9.988781760580796032e-01
6.400000000000000000e+01 1.001323779495421284e+00 9.988938381455547688e-01
6.500000000000000000e+01 1.001317424658310973e+00 9.989225713191871581e-01
6.600000000000000000e+01 1.001304767264685314e+00 9.989626920151124523e-01
6.700000000000000000e+01 1.001285528289389992e+00 9.989920249217218995e-01
6.800000000000000000e+01 1.001274493044111091e+00 9.990167551651636391e-01
6.900000000000000000e+01 1.001263422052370622e+00 9.990444774550214513e-01
7.000000000000000000e+01 1.001246043717129108e+00 9.990647905304793630e-01
7.100000000000000000e+01 1.001241111018095209e+00 9.990890694719833931e-01
7.200000000000000000e+01 1.001232855797010712e+00 9.991196971398464965e-01
7.300000000000000000e+01 1.001226112230471310e+00 9.991547725825096204e-01
7.400000000000000000e+01 1.001216806013756733e+00 9.991889848114979822e-01
7.500000000000000000e+01 1.001204292748021141e+00 9.992166500045285282e-01
7.600000000000000000e+01 1.001194376232181105e+00 9.992466755734965567e-01
7.700000000000000000e+01 1.001178439095212980e+00 9.992700020592143462e-01
7.800000000000000000e+01 1.001171757546562846e+00 9.992963059014857707e-01
7.900000000000000000e+01 1.001160732706942946e+00 9.993268653272819879e-01
8.000000000000000000e+01 1.001146091397586035e+00 9.993590444490453306e-01
8.100000000000000000e+01 1.001137331906923666e+00 9.993931192827488763e-01
8.200000000000000000e+01 1.001123170187160127e+00 9.994248093856941129e-01
8.300000000000000000e+01 1.001112244400199858e+00 9.994581174370893439e-01
8.400000000000000000e+01 1.001107841887490357e+00 9.994935273394408570e-01
8.500000000000000000e+01 1.001100762783278197e+00 9.995292891332503427e-01
8.600000000000000000e+01 1.001085479145742640e+00 9.995612344013622419e-01
8.700000000000000000e+01 1.001080208727658682e+00 9.995965851742898423e-01
8.800000000000000000e+01 1.001069720189406542e+00 9.996274416002942642e-01
8.900000000000000000e+01 1.001058289556544079e+00 9.996624141486017967e-01
9.000000000000000000e+01 1.001055866146569384e+00 9.997005717194649144e-01
9.100000000000000000e+01 1.001045527418445324e+00 9.997364845280252155e-01
9.200000000000000000e+01 1.001032045540107163e+00 9.997721209399869080e-01
9.300000000000000000e+01 1.001027005887421550e+00 9.998104521801348676e-01
9.400000000000000000e+01 1.001017724674185372e+00 9.998518869780250728e-01
9.500000000000000000e+01 1.001018133254153231e+00 9.998913673941891567e-01
9.600000000000000000e+01 1.001009268971039035e+00 9.999294259555955300e-01
9.700000000000000000e+01 1.000990640939272591e+00 9.999694805962375810e-01
9.800000000000000000e+01 1.000994056937046572e+00 1.000011403347512040e+00
9.900000000000000000e+01 1.000985015589762162e+00 1.000056670708833639e+00
1.000000000000000000e+02 1.000978128964236102e+00 1.000089999384663475e+00
1.010000000000000000e+02 1.000962374262954535e+00 1.000131811777306590e+00
1.020000000000000000e+02 1.000955718758264501e+00 1.000182128352138378e+00
1.030000000000000000e+02 1.000959897424295031e+00 1.000216551736786919e+00
1.040000000000000000e+02 1.000951202557823771e+00 1.000261640947690545e+00
1.050000000000000000e+02 1.000944283906034293e+00 1.000302017435008350e+00
1.060000000000000000e+02 1.000943906241159143e+00 1.000347156582676700e+00
1.070000000000000000e+02 1.000941028073883299e+00 1.000399159445487962e+00
1.080000000000000000e+02 1.000929419807918830e+00 1.000445169782310462e+00
1.090000000000000000e+02 1.000929888594392914e+00 1.000499550964429218e+00
1.100000000000000000e+02 1.000929223084494391e+00 1.000543788853657245e+00
1.110000000000000000e+02 1.000921260282795933e+00 1.000587887470365089e+00
1.120000000000000000e+02 1.000918348767514621e+00 1.000635728235500732e+00
1.130000000000000000e+02 1.000915470207383029e+00 1.000691790785338320e+00
1.140000000000000000e+02 1.000907714383157954e+00 1.000737238746395974e+00
1.150000000000000000e+02 1.000907118300662368e+00 1.000782886162263408e+00
1.160000000000000000e+02 1.000907965029945501e+00 1.000856623202247553e+00
1.170000000000000000e+02 1.000896088284167762e+00 1.000894089835780543e+00
1.180000000000000000e+02 1.000896401033116057e+00 1.000921666983344283e+00
1.190000000000000000e+02 1.000898095467873228e+00 1.001008567187738674e+00
1.200000000000000000e+02 1.000895061438740408e+00 1.001050382610031209e+00
1.210000000000000000e+02 1.000896486531380303e+00 1.001088918107430725e+00
1.220000000000000000e+02 1.000897589388119346e+00 1.001180231758459716e+00
1.230000000000000000e+02 1.000895022927951850e+00 1.001224025485591307e+00
1.240000000000000000e+02 1.000895392461214506e+00 1.001280216611099894e+00
1.250000000000000000e+02 1.000899539250538428e+00 1.001331402497536605e+00
1.260000000000000000e+02 1.000898206718120687e+00 1.001389982005701507e+00
1.270000000000000000e+02 1.000902160192647106e+00 1.001461616476883032e+00
1.280000000000000000e+02 1.000902684106218743e+00 1.001514738423146422e+00
1.290000000000000000e+02 1.000899131426554289e+00 1.001586505939656924e+00
1.300000000000000000e+02 1.000903053777493668e+00 1.001643454068881889e+00
1.310000000000000000e+02 1.000905338684157986e+00 1.001700578112031836e+00
1.320000000000000000e+02 1.000906737843336503e+00 1.001772455742289125e+00
1.330000000000000000e+02 1.000912721104149972e+00 1.001827804106393049e+00
1.340000000000000000e+02 1.000913359290309002e+00 1.001895322563208346e+00
1.350000000000000000e+02 1.000918202820033853e+00 1.001973898732321677e+00
1.360000000000000000e+02 1.000923377399058456e+00 1.002041632756126788e+00
1.370000000000000000e+02 1.000922718965530533e+00 1.002102637714564537e+00
1.380000000000000000e+02 1.000932696169714919e+00 1.002163660797966704e+00
1.390000000000000000e+02 1.000941573431891607e+00 1.002234944876693623e+00
