# ll                            TT_ab/TT                EE_ab/EE
2.000000000000000000e+00 9.987393302863233346e-01 9.996201405211840862e-01
3.000000000000000000e+00 9.983239966256871600e-01 9.989445679762843922e-01
4.000000000000000000e+00 9.984419478646607837e-01 9.979873053236281155e-01
5.000000000000000000e+00 9.983089648893477275e-01 9.969753889272090497e-01
6.000000000000000000e+00 9.983693089826478628e-01 9.958188844603056422e-01
7.000000000000000000e+00 9.983601964866437584e-01 9.950264502447618842e-01
8.000000000000000000e+00 9.983916437843298741e-01 9.954098435480274176e-01
9.000000000000000000e+00 9.984137673555646408e-01 9.969074052093883642e-01
1.000000000000000000e+01 9.984396007821821906e-01 9.975575389614255162e-01
1.100000000000000000e+01 9.984655885824329502e-01 9.973749009348104044e-01
1.200000000000000000e+01 9.984914665357547126e-01 9.969609251686807339e-01
1.300000000000000000e+01 9.985087963671833711e-01 9.969312775069483212e-01
1.400000000000000000e+01 9.985291952713231112e-01 9.984419876389069026e-01
1.500000000000000000e+01 9.985495236452397450e-01 9.990597063559318869e-01
1.600000000000000000e+01 9.985721469409467588e-01 9.994007338640861215e-01
1.700000000000000000e+01 9.985844989531381666e-01 9.996922802576672096e-01
1.800000000000000000e+01 9.986041036749211397e-01 9.997682883925683717e-01
1.900000000000000000e+01 9.986298131764320685e-01 1.000301768996971319e+00
2.000000000000000000e+01 9.986374530201548305e-01 1.000823250320573177e+00
2.100000000000000000e+01 9.986541382808022949e-01 1.001068283904000156e+00
2.200000000000000000e+01 9.986665630632217683e-01 1.001263224997842594e+00
2.300000000000000000e+01 9.986792696879953635e-01 1.001304716466025146e+00
2.400000000000000000e+01 9.986945003576263025e-01 1.001304708158745838e+00
2.500000000000000000e+01 9.987071890445301525e-01 1.001326205467939712e+00
2.600000000000000000e+01 9.987199302720367600e-01 1.001293664687249896e+00
2.700000000000000000e+01 9.987314871723524945e-01 1.001248433930687298e+00
2.800000000000000000e+01 9.987441455888605990e-01 1.001207860633251290e+00
2.900000000000000000e+01 9.987582137881728661e-01 1.001168651202724691e+00
3.000000000000000000e+01 9.987662179835311571e-01 1.001155677879588923e+00
3.100000000000000000e+01 9.987763427146983952e-01 1.001167579910388739e+00
3.200000000000000000e+01 9.987905521684614651e-01 1.001175708244473883e+00
3.300000000000000000e+01 9.988001062419158416e-01 1.001179592288938602e+00
3.400000000000000000e+01 9.988098865943889626e-01 1.001181173044281669e+00
3.500000000000000000e+01 9.988224719201443946e-01 1.001177295432313263e+00
3.600000000000000000e+01 9.988310447435004846e-01 1.001171040179687832e+00
3.700000000000000000e+01 9.988371102141375690e-01 1.001162783668977152e+00
3.800000000000000000e+01 9.988494854790894717e-01 1.001150215172240676e+00
3.900000000000000000e+01 9.988608508645638873e-01 1.001130680791086025e+00
4.000000000000000000e+01 9.988704378821486873e-01 1.001109883347202523e+00
4.100000000000000000e+01 9.988785775363896446e-01 1.001091582325578155e+00
4.200000000000000000e+01 9.988871495734203965e-01 1.001081341755670095e+00
4.300000000000000000e+01 9.988933846583664122e-01 1.001072574374503033e+00
4.400000000000000000e+01 9.989015844935879018e-01 1.001062743843682101e+00
4.500000000000000000e+01 9.989182054660080690e-01 1.001056516199407831e+00
4.600000000000000000e+01 9.989246274980413398e-01 1.001049403024762530e+00
4.700000000000000000e+01 9.989287997189841839e-01 1.001036256445629657e+00
4.800000000000000000e+01 9.989356051141339288e-01 1.001020855882891247e+00
4.900000000000000000e+01 9.989499322624663114e-01 1.000991519470124880e+00
5.000000000000000000e+01 9.989564376263105894e-01 1.000948659144004438e+00
5.100000000000000000e+01 9.989694660475680887e-01 1.000915925340801094e+00
5.200000000000000000e+01 9.989797461682722313e-01 1.000929800761728439e+00
